Country,L1,L2,L3,L4,Lat,Long,Radius
Canada ,0,0,0,11,56.1304,-106.3468,6
Brazil,0,0,0,108,-14.235,-51.9253,6
Colombia,0,0,0,15,4.5709,-74.2973,6
Peru,0,6,0,72,-9.19,-75.0152,6
Bulgaria,0,0,0,2,42.7339,25.4858,6
Germany,0,0,0,20,51.1657,10.4515,6
Portugal,0,20,1,162,39.3999,8.2245,6
Russia,0,2,0,0,61.524,105.3188,6
China,0,122,2,37,35.8617,104.1954,6
Vietnam,16,19,0,8,14.0583,108.2772,6
India,0,0,2,1,20.5937,78.9629,6
Pakistan,5,0,33,4,30.3753,69.3451,6
Saudi Arabia,10,11,18,35,23.8859,45.0792,6
Malawi,264,71,195,1116,-13.2543,34.3015,6
South Africa,8,231,15,340,-30.5595,22.9375,6
Uganda,1,1,13,30,1.3733,32.2903,6
UK,295,466,706,1737,55.3781,-3.436,6
